case,location,date,fatalities,injured,total_victims,location.1,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,race,gender,latitude,longitude,type,year,date_parsed
Greenwood Park Mall shooting,"Greenwood, Indiana",7/17/22,3,2,5,workplace,20,-,yes,semiautomatic rifles; semiautomatic handgun,White,M,-,-,Mass,2022,2022-07-17
Highland Park July 4 parade shooting,"Highland Park, Illinois",7/4/22,7,46,53,Other,21,-,yes,semiautomatic rifle,White,M,-,-,Mass,2022,2022-07-04
Church potluck dinner shooting,"Birmingham, Alabama",6/16/22,3,0,3,religious,70,-,yes,semiautomatic handgun,White,M,-,-,Mass,2022,2022-06-16
Concrete company shooting,"Smithsburg, Maryland",6/9/22,3,1,4,workplace,23,-,-,semiautomatic handgun,-,M,-,-,Mass,2022,2022-06-09
Tulsa medical center shooting,"Tulsa, Oklahoma",6/1/22,4,0,4,workplace,45,-,yes,semiautomatic rifle; semiautomatic handgun,Black,M,-,-,Mass,2022,2022-06-01
Robb Elementary School massacre,"Uvalde, Texas",5/24/22,21,17,38,School,18,yes,yes,semiautomatic rifles,Latino,M,-,-,Mass,2022,2022-05-24
Buffalo supermarket massacre,"Buffalo, New York",5/14/22,10,3,13,workplace,18,yes,yes,semiautomatic rifle,White,M,-,-,Mass,2022,2022-05-14
Sacramento County church shooting,"Sacramento, California",2/28/22,4,0,4,Religious,-,-,-,semiautomatic rifle,-,M,38.60111019,-121.4189659,Mass,2022,2022-02-28
Oxford High School shooting,"Oxford, Michigan",11/30/21,4,7,11,School,15,-,-,semiautomatic handgun,-,M,42.84410784,-83.25992831,Mass,2021,2021-11-30
San Jose VTA shooting,"San Jose, California",5/26/21,9,0,9,Workplace,57,yes,-,semiautomatic handguns,-,M,37.316097,-121.888533,Mass,2021,2021-05-26
FedEx warehouse shooting,"Indianapolis, Indiana",4/15/21,8,7,15,Workplace,19,yes,yes,semiautomatic rifle,White,M,39.68663,-86.32313,Mass,2021,2021-04-15
Orange office complex shooting,"Orange, California",3/31/21,4,1,5,Workplace,44,-,-,semiautomatic handgun,-,M,33.83542,-117.85379,Mass,2021,2021-03-31
Boulder supermarket shooting,"Boulder, Colorado",3/22/21,10,0,10,Workplace,21,yes,Yes,"semiautomatic rifle, semiautomatic handgun; tactical vest",-,M,39.986961,-105.251168,Mass,2021,2021-03-22
Atlanta massage parlor shootings,"Atlanta, Georgia",3/16/21,8,1,9,Workplace,21,-,-,semiautomatic handgun,White,M,34.111653,-84.580376,Spree,2021,2021-03-16
Springfield convenience store shooting,"Springfield, Missouri",3/16/20,4,0,4,Workplace,31,-,Yes,semiautomatic rifle; semiautomatic handgun,-,M,37.210432,-93.23686,Mass,2020,2020-03-16
Molson Coors shooting,"Milwaukee, Wisconsin",2/26/20,5,0,5,Workplace,51,-,-,semiautomatic handgun,Black,M,43.044511,-87.962537,Mass,2020,2020-02-26
Jersey City kosher market shooting,"Jersey City, New Jersey",12/10/19,4,3,7,Other,-,-,-,semiautomatic rifle; shotgun; semiautomatic handguns,Black,Male & Female,40.707363,-74.083609,Spree,2019,2019-12-10
Pensacola Naval base shooting,"Pensacola, Florida",12/6/19,3,8,11,Military,21,-,-,semiautomatic handgun,-,M,30.364707,-87.288567,Mass,2019,2019-12-06
Odessa-Midland shooting spree,"Odessa, Texas",8/31/19,7,25,32,Other,36,yes,-,semiautomatic rifle,White,M,31.925974,-102.2796,Spree,2019,2019-08-31
Dayton entertainment district shooting,"Dayton, Ohio",8/4/19,9,27,36,Other,24,-,Yes,semiautomatic rifle,White,M,39.757312,-84.184947,Mass,2019,2019-08-04
El Paso Walmart mass shooting,"El Paso, Texas",8/3/19,22,26,48,Workplace,21,-,Yes,semiautomatic rifle,White,M,31.771068,-106.375655,Mass,2019,2019-08-03
Gilroy garlic festival shooting,"Gilroy, California",7/28/19,3,12,15,Other,19,TBD,Yes,semiautomatic rifle,-,M,36.997191,-121.584819,Mass,2019,2019-07-28
Virginia Beach municipal building shooting,"Virginia Beach, Virginia",5/31/19,12,4,16,Workplace,40,TBD,Yes,2 handguns,Black,M,36.75442,-76.060378,Mass,2019,2019-05-31
